category,type,puzzle_file,dpll_status,dpll_time,bt_status,bt_time,agreement,faster_method,speedup
Trivial,SAT,sat_000.txt,SAT,1456.594999,SAT,4.001425,True,Backtracking,364.02x
Trivial,SAT,sat_001.txt,SAT,16.308245,SAT,0.937061,True,Backtracking,17.40x
Trivial,SAT,sat_002.txt,SAT,145.794792,SAT,17.542045,True,Backtracking,8.31x
Trivial,SAT,sat_003.txt,SAT,13.055349,SAT,4.679638,True,Backtracking,2.79x
Trivial,SAT,sat_004.txt,SAT,24.045189,SAT,34.141505,True,DPLL,1.42x
Trivial,SAT,sat_005.txt,SAT,532.286781,SAT,5.622268,True,Backtracking,94.67x
Trivial,SAT,sat_006.txt,SAT,68.352231,SAT,0.813632,True,Backtracking,84.01x
Trivial,SAT,sat_007.txt,SAT,477.574233,SAT,4.860235,True,Backtracking,98.26x
Trivial,SAT,sat_008.txt,SAT,687.135732,SAT,19.136708,True,Backtracking,35.91x
Trivial,SAT,sat_009.txt,SAT,417.998236,SAT,1.516891,True,Backtracking,275.56x
Trivial,UNSAT,unsat_000.txt,UNSAT,969.859841,UNSAT,50.245970,True,Backtracking,19.30x
Trivial,UNSAT,unsat_001.txt,UNSAT,338.722609,UNSAT,45.341289,True,Backtracking,7.47x
Trivial,UNSAT,unsat_002.txt,UNSAT,924.968349,UNSAT,139.678250,True,Backtracking,6.62x
Trivial,UNSAT,unsat_003.txt,UNSAT,2638.721578,UNSAT,361.893977,True,Backtracking,7.29x
Trivial,UNSAT,unsat_004.txt,UNSAT,530.611584,UNSAT,64.262361,True,Backtracking,8.26x
Trivial,UNSAT,unsat_005.txt,UNSAT,315.259138,UNSAT,107.770453,True,Backtracking,2.93x
Trivial,UNSAT,unsat_006.txt,UNSAT,210.961797,UNSAT,26.353419,True,Backtracking,8.01x
Trivial,UNSAT,unsat_007.txt,UNSAT,350.020650,UNSAT,164.443531,True,Backtracking,2.13x
Trivial,UNSAT,unsat_008.txt,UNSAT,150.878351,UNSAT,13.075328,True,Backtracking,11.54x
Trivial,UNSAT,unsat_009.txt,UNSAT,776.906004,UNSAT,76.798384,True,Backtracking,10.12x
Simple,SAT,puzzle1.txt,SAT,0.307773,SAT,0.003364,True,Backtracking,91.49x
Simple,SAT,puzzle10.txt,SAT,0.301574,SAT,0.000801,True,Backtracking,376.68x
Simple,SAT,puzzle2.txt,SAT,0.294375,SAT,0.000617,True,Backtracking,477.27x
Simple,SAT,puzzle3.txt,SAT,0.301578,SAT,0.001045,True,Backtracking,288.59x
Simple,SAT,puzzle4.txt,SAT,0.299727,SAT,0.002490,True,Backtracking,120.37x
Simple,SAT,puzzle5.txt,SAT,0.299794,SAT,0.001907,True,Backtracking,157.22x
Simple,SAT,puzzle6.txt,SAT,0.300047,SAT,0.001543,True,Backtracking,194.45x
Simple,SAT,puzzle7.txt,SAT,0.302679,SAT,0.000455,True,Backtracking,665.37x
Simple,SAT,puzzle8.txt,SAT,0.300974,SAT,0.000657,True,Backtracking,458.05x
Simple,SAT,puzzle9.txt,SAT,0.295434,SAT,0.000677,True,Backtracking,436.32x
Simple,UNSAT,puzzle11.txt,UNSAT,0.275577,UNSAT,0.007678,True,Backtracking,35.89x
Simple,UNSAT,puzzle12.txt,UNSAT,0.261242,UNSAT,0.038756,True,Backtracking,6.74x
Simple,UNSAT,puzzle13.txt,UNSAT,0.287847,UNSAT,0.000133,True,Backtracking,2163.65x
Simple,UNSAT,puzzle14.txt,UNSAT,0.297183,UNSAT,0.001343,True,Backtracking,221.28x
Simple,UNSAT,puzzle15.txt,UNSAT,0.286097,UNSAT,0.000259,True,Backtracking,1103.93x
Simple,UNSAT,puzzle16.txt,UNSAT,0.272449,UNSAT,0.000415,True,Backtracking,656.37x
Simple,UNSAT,puzzle17.txt,UNSAT,0.018057,UNSAT,0.028142,True,DPLL,1.56x
Simple,UNSAT,puzzle18.txt,UNSAT,0.244495,UNSAT,0.000377,True,Backtracking,648.63x
Simple,UNSAT,puzzle19.txt,UNSAT,0.129258,UNSAT,0.001263,True,Backtracking,102.33x
Simple,UNSAT,puzzle20.txt,UNSAT,0.131671,UNSAT,0.000922,True,Backtracking,142.78x
